"V1" "V2" "V3" "V4" "V5"
"372" "236001" "105" "2379" "3e+06" "N2_RNAi1_star2"
"373" "236133" "110" "2412" "3e+06" "N2_RNAi1_star2"
"374" "236086" "101" "2410" "3e+06" "N2_RNAi1_star2"
"375" "235937" "95" "2384" "3e+06" "N2_RNAi1_star2"
"376" "254898" "105" "2488" "4e+06" "N2_RNAi1_star2"
"377" "254679" "105" "2493" "4e+06" "N2_RNAi1_star2"
"378" "254824" "103" "2502" "4e+06" "N2_RNAi1_star2"
"379" "254655" "109" "2487" "4e+06" "N2_RNAi1_star2"
"380" "254961" "107" "2521" "4e+06" "N2_RNAi1_star2"
"381" "254904" "104" "2486" "4e+06" "N2_RNAi1_star2"
"382" "254868" "105" "2500" "4e+06" "N2_RNAi1_star2"
"383" "254807" "107" "2486" "4e+06" "N2_RNAi1_star2"
"384" "254718" "112" "2497" "4e+06" "N2_RNAi1_star2"
"385" "254795" "107" "2474" "4e+06" "N2_RNAi1_star2"
"386" "254633" "108" "2487" "4e+06" "N2_RNAi1_star2"
"387" "254736" "106" "2484" "4e+06" "N2_RNAi1_star2"
"388" "254923" "104" "2496" "4e+06" "N2_RNAi1_star2"
"389" "254707" "108" "2510" "4e+06" "N2_RNAi1_star2"
"390" "254580" "112" "2496" "4e+06" "N2_RNAi1_star2"
"391" "267413" "110" "2558" "5e+06" "N2_RNAi1_star2"
"392" "267286" "109" "2557" "5e+06" "N2_RNAi1_star2"
"393" "267452" "108" "2562" "5e+06" "N2_RNAi1_star2"
"394" "267143" "109" "2560" "5e+06" "N2_RNAi1_star2"
"395" "267436" "108" "2558" "5e+06" "N2_RNAi1_star2"
"396" "267529" "106" "2547" "5e+06" "N2_RNAi1_star2"
"397" "267223" "111" "2553" "5e+06" "N2_RNAi1_star2"
"398" "267516" "108" "2550" "5e+06" "N2_RNAi1_star2"
"399" "267636" "110" "2553" "5e+06" "N2_RNAi1_star2"
"400" "267616" "114" "2557" "5e+06" "N2_RNAi1_star2"
"401" "267048" "109" "2555" "5e+06" "N2_RNAi1_star2"
